quote,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8
レットゴー,Enthusiasm,Initiation,Adventure,Start,Energy,Motivation,Positivity,Excitement
待ちくたびれた,Impatience,Waiting,Exhaustion,Anticipation,Relief,Frustration,Longing,Readiness
もう終わり テヘ,Conclusion,Playfulness,Satisfaction,Relief,Ending,Teasing,Joy,LightHearted
これからが本番,Preparation,Anticipation,Readiness,MainEvent,Excitement,Commitment,Focus,Challenge
イエーイ,Joy,Celebration,Excitement,Happiness,Elation,Energy,Enthusiasm,Cheerfulness
注意してね,Caution,Care,Warning,Protection,Advice,Concern,Safety,Consideration
え マジで,Surprise,Incredulity,Questioning,Shock,Discovery,Interest,Amazement,Curiosity
あっちゃー,Regret,Mistake,Sympathy,Disappointment,Accident,Empathy,Concern,Oops
へぇー そうなんだ,Interest,Realization,Learning,Surprise,Engagement,Inquiry,Understanding,Curiosity
見っけ,Discovery,Achievement,Success,Search,Excitement,Revelation,Joy,Spotting
信じてもいいかな,Trust,Hope,Inquiry,Faith,Confidence,Consideration,Question,Belief
絶対後悔しない,Determination,Confidence,Resolve,Promise,Assurance,Boldness,Commitment,Sureness
私の勝ち,Victory,Pride,Competitiveness,Win,Achievement,Celebration,Confidence,Success
うそーん,Disbelief,Surprise,Skepticism,Amazement,Questioning,Doubt,Incredulity,Shock
全力出しちゃうぞ,Determination,Effort,Promise,FullForce,Commitment,Energy,Intensity,Passion
ありがとー,Gratitude,Appreciation,Happiness,Thankfulness,Relief,Joy,Kindness,Politeness
ごめんね,Apology,Regret,Remorse,Sincerity,Sorry,Forgiveness,Concern,Politeness
逃がさないよ,Determination,Promise,Challenge,Persistence,Focus,Commitment,Confidence,Capture
全力でいくからね,Commitment,FullForce,Determination,Promise,Effort,Intensity,Energy,Resolve
信じられなーい,Disbelief,Surprise,Amazement,Shock,Incredulity,Astonishment,Wonder,Incredible
ラクショー,Ease,Confidence,Simplicity,Victory,Relaxation,Assurance,Casualness,Effortlessness
作戦 バッチリ,Tactics,Preparation,Success,Strategy,Readiness,Perfection,Planning,Confidence
想定外でビックリ,Surprise,Unpredictability,Amazement,Shock,Unexpected,Discovery,Reaction,Interest
一緒に頑張ろ,Teamwork,Encouragement,Cooperation,Together,Motivation,Support,Unity,Friendship
内緒だよーん,Secrecy,Confidentiality,Privacy,Mystery,Intimacy,Whisper,Trust,Playfulness
おはよー,Greeting,Morning,Cheerfulness,Warmth,Beginnings,Energy,Friendliness,FreshStart
お疲れ様,Appreciation,Respect,Gratitude,Acknowledgment,Empathy,Encouragement,Politeness,Support
もう眠い,Fatigue,Sleepiness,Tiredness,Honesty,Relaxation,Bedtime,EndOfDay,Lethargy
無理かも,Doubt,Uncertainty,Hesitation,Possibility,Limitation,Realism,Concern,Reservation
変じゃない,Questioning,Affirmation,Reassurance,Curiosity,Normalcy,Inquiry,Assurance,Confusion
